street_id_phaco;postal_id;street_FINAL_detected;langue_FINAL_detected;nom_propre_abv;mid_num;mid_x_31370;mid_y_31370;mid_cd_sector
1;1080;Rue Calliope;FR;NA;6;146432;171630;21012A54-
1;1080;Calliopestraat;NL;NA;6;146432;171630;21012A54-
2;1080;Rue Jennart;FR;NA;24;147891;172178;21012A71-
2;1080;Jennartstraat;NL;NA;24;147891;172178;21012A71-
3;1080;Place de la Duchesse de Brabant;FR;NA;19;147194;170960;21012A12-
3;1080;Hertogin van Brabantplaats;NL;NA;19;147194;170960;21012A12-
4;1080;Rue Cail et Halot;FR;NA;8;147604;171275;21012A03-
4;1080;Cail et Halotstraat;NL;NA;8;147604;171275;21012A03-
5;1080;Quai de l'Industrie;FR;NA;67;147367;170829;21012A11-
5;1080;Nijverheidskaai;NL;NA;67;147367;170829;21012A11-
6;1080;Rue Hélène Ryckmans;FR;NA;5;148042;171858;21012A732
6;1080;Hélène Ryckmansstraat;NL;NA;5;148042;171858;21012A732
7;1080;Rue du Facteur;FR;NA;11;147888;171725;21012A00-
7;1080;Briefdragerstraat;NL;NA;11;147888;171725;21012A00-
8;1080;Rue des Osiers;FR;NA;20;147428;171594;21012A041
8;1080;Wissenstraat;NL;NA;20;147428;171594;21012A041
9;1080;Chaussée de Gand;FR;NA;348;146666;171869;21012A54-
9;1080;Steenweg op Gent;NL;NA;348;146666;171869;21012A54-
10;1080;Avenue des Myrtes;FR;NA;44;145496;172058;21012A811
10;1080;Mirtenlaan;NL;NA;44;145496;172058;21012A811
11;1080;Rue Louis De Gunst;FR;NA;47;146892;171147;21012A172
11;1080;Louis De Gunststraat;NL;NA;47;146892;171147;21012A172
12;1080;Avenue de la Basilique;FR;NA;115;145595;172642;21012A50-
12;1080;Basilieklaan;NL;NA;115;145595;172642;21012A50-
13;1080;Quai de Mariemont;FR;NA;26;147321;170868;21012A12-
13;1080;Mariemontkaai;NL;NA;26;147321;170868;21012A12-
14;1080;Avenue Carl Requette;FR;NA;20;145283;171594;21012A84-
14;1080;Carl Requettelaan;NL;NA;20;145283;171594;21012A84-
15;1080;Rue des Houilleurs;FR;NA;4;148190;171764;21012A732
15;1080;Koolmijngraversstraat;NL;NA;4;148190;171764;21012A732
16;1080;Quai du Hainaut;FR;NA;27;147927;171273;21012A02-
16;1080;Henegouwenkaai;NL;NA;27;147927;171273;21012A02-
17;1080;Rue Osseghem;FR;NA;145;146165;171437;21012A24-
17;1080;Osseghemstraat;NL;NA;145;146165;171437;21012A24-
18;1080;Avenue de la Liberté;FR;NA;121;146610;172333;21012A52-
18;1080;Vrijheidslaan;NL;NA;121;146610;172333;21012A52-
19;1080;Rue du Ruisseau;FR;NA;19;148112;171910;21012A732
19;1080;Beekstraat;NL;NA;19;148112;171910;21012A732
20;1080;Rue du Lierre;FR;NA;14;146515;171529;21012A25-
