house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
9;26381;234244;29244;85045A00-
3;26379;234194;29052;85045A00-
11;26404;234314;28923;85045A010
54;15599;207975;45739;85011G00-
47;15599;207971;45666;85011G00-
57;31874;230281;29844;85024C00-
52;31873;230393;32981;85024A000
16;31932;232542;32758;85024B091
29;31873;230440;32936;85024A000
106;31873;230452;32522;85024A000
17;31861;230519;33109;85024A000
16;31872;233212;31137;85024B012
2;31881;230342;33227;85024A000
59;31883;232429;32068;85024B000
14;31872;233229;31111;85024B012
46;31873;230382;33003;85024A000
91;20226;232574;41919;85039A000
76;21440;239289;41042;85009A10-
80;21440;239337;41040;85009A10-
86;21440;239470;41001;85009A10-
1;26300;247602;34802;85034C000
38;26300;247387;34746;85034C000
52;24965;246623;28326;85026A00-
38;24963;243345;29439;85026B000
10;24981;243431;29563;85026B000
3;24981;243491;29565;85026B000
7;24981;243476;29561;85026B000
1;24979;245666;28079;85026A10-
29;24979;245212;28063;85026A10-
1;15621;218426;43473;85011A000
7;14977;218530;45288;85011D00-
8;14977;218595;45256;85011D00-
2;15618;218019;43629;85011A000
7;15618;218019;43592;85011A000
217;20236;229940;41003;85039C00-
153;20235;230478;45968;85039D00-
256;20234;230780;45807;85039D00-
282;20234;230585;45750;85039D00-
99;20226;232517;41953;85039A000
37;12389;227097;41891;85007E20-
1;22768;243441;40470;85009B090
15;15641;218006;43506;85011A000
3;15641;218024;43567;85011A000
6;15641;218001;43547;85011A000
27;12331;220064;47944;85007A00-
33;12331;220075;47964;85007A00-
4;12331;220040;47791;85007A00-
8;12331;220100;47927;85007A00-
10;25000;243219;29512;85026B000
4;12384;225396;42831;85007E000
40;12384;225478;42159;85007E10-
99;12384;225509;41677;85007E10-
1;26270;243051;34167;85034A001
10;26270;243097;34167;85034A001
105;26268;246169;35664;85034B000
29;24974;245051;27592;85026A10-
8;15577;218086;43530;85011A000
7;26260;246104;35575;85034B000
9;26260;246099;35564;85034B000
4;26276;247385;34687;85034C000
45;15626;208043;45164;85011G00-
26;15900;215625;44735;85011C100
36;15900;215732;44671;85011C100
47;15900;215749;44744;85011C100
7;12333;222732;42788;85007D000
30;12313;222184;42119;85007D10-
15;21430;238895;40717;85009A000
2;21430;238860;40935;85009A000
56;21430;238794;40523;85009A000
10;15632;217402;43251;85011A000
7;15653;218086;43394;85011A000
24;15665;217831;43208;85011A000
20;26284;242724;34122;85034A001
45;20250;230479;45661;85039D00-
45;20249;232626;41866;85039A000
20;15632;217283;43214;85011A000
24;15632;217253;43166;85011A000
84;15632;217008;43061;85011A091
2;21438;237024;39379;85009E10-
12;22764;243663;40638;85009B001
142;22764;243935;40526;85009B001
54;31855;232392;32088;85024B000
106;20261;229764;41273;85039C00-
3;12370;222494;42957;85007D000
9;12370;222416;42957;85007D000
4;15890;214875;44229;85011C091
5;12353;222711;42826;85007D000
2;14978;218451;45356;85011D00-
70;15604;217219;43817;85011A091
111;21422;236301;40445;85009E00-
46;24928;241988;27501;85026B10-
58;24928;242111;27491;85026B10-
5;24926;245286;28139;85026A10-
2;24940;245319;27994;85026A10-
28;21471;236060;40447;85009E00-
100;21485;235860;41033;85009E00-
144;21485;236300;41022;85009E00-
38;21485;235167;41001;85009E012
2;26302;242709;33751;85034A001
40;26302;242680;33506;85034A001
46;26302;242663;33432;85034A001
39;24965;246607;28289;85026A00-
41;24965;246615;28292;85026A00-
1;16818;242228;47226;85046A000
16;26361;240978;29344;85045F00-
3;26361;241082;29360;85045F00-
105;20196;230673;45908;85039D00-
2;26286;243075;34142;85034A001
1;15628;213000;46823;85011F000
11;15628;213072;46702;85011F000
50;16743;242529;46943;85046A000
56;26297;242299;33712;85034A090
21;26255;243003;34090;85034A001
20;15664;217975;43566;85011A000
21;15664;217981;43563;85011A000
