cd_sector;tx_sector_descr_nl;tx_sector_descr_fr;cd_sub_munty;tx_sub_munty_nl;tx_sub_munty_fr;tx_munty_dstr;cd_munty_refnis;tx_munty_descr_nl;tx_munty_descr_fr;cd_dstr_refnis;tx_adm_dstr_descr_nl;tx_adm_dstr_descr_fr;cd_prov_refnis;tx_prov_descr_nl;tx_prov_descr_fr;cd_rgn_refnis;tx_rgn_descr_nl;tx_rgn_descr_fr;MDRC;NAME_FRE;NAME_DUT
11001A00-;AARTSELAAR-CENTRUM;AARTSELAAR-CENTRUM;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A01-;DE LEEUWERIK;DE LEEUWERIK;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A020;BUERSTEDE;BUERSTEDE;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A030;YSSELAAR;YSSELAAR;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A042;KLEINE GRIPPE;KLEINE GRIPPE;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A052;LEUG;LEUG;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A063;TEN DORPE;TEN DORPE;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A074;BRUINEN BAARD;BRUINEN BAARD;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A091;KLEISTRAAT - OEVER;KLEISTRAAT - OEVER;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A0MA;ZINKVAL;ZINKVAL;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A0PA;CLEYDAEL-KASTEEL;CLEYDAEL-KASTEEL;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A10-;'T HEIKEN;'T HEIKEN;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A173;NOTELAAN;NOTELAAN;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A190;DE REUKENS;DE REUKENS;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A20-;DE KOEKOEK;DE KOEKOEK;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11001A21-;VIERPALEN;VIERPALEN;11001A;AARTSELAAR;AARTSELAAR;;11001;Aartselaar;Aartselaar;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
1100212MQ;STABROEK;STABROEK;110021;WIJZIGING VAN GEMEENTEGRENS;WIJZIGING VAN GEMEENTEGRENS;BERENDRECHT_ZANDVLIET_LILLO;11002;Antwerpen;Anvers;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11002A00-;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );11002A;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;ANTWERPEN;11002;Antwerpen;Anvers;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11002A01-;KLAPDORP - BROUWERSVLIET;KLAPDORP - BROUWERSVLIET;11002A;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;ANTWERPEN;11002;Antwerpen;Anvers;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
11002A02-;GROENPLAATS (SPAANSE WALLEN);GROENPLAATS (SPAANSE WALLEN);11002A;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;1-2-3-4 ADMINISTR. WIJK OF DISTRICT;ANTWERPEN;11002;Antwerpen;Anvers;11000;Arrondissement Antwerpen;Arrondissement d’Anvers;10000;Provincie Antwerpen;Province d’Anvers;02000;Vlaams Gewest;Région flamande;;;
