"id";"secteurstatistique_code";"secteurstatistique_nom_fr";"secteurstatistique_nom_nl";"quartier_code";"quartier_nom_fr";"quartier_nom_nl";"commune_code";"commune_nom_fr";"commune_nom_nl"
1;"21004A001";GRAND-PLACE;GROTE MARKT;1;GRAND PLACE;GROTE MARKT;21004;BRUXELLES;BRUSSEL
2;"21004A002";BOURSE;BEURS;1;GRAND PLACE;GROTE MARKT;21004;BRUXELLES;BRUSSEL
3;"21004A01-";VIEILLE HALLE AUX BLES;OUD KORENHUIS;1;GRAND PLACE;GROTE MARKT;21004;BRUXELLES;BRUSSEL
4;"21004A34-";MONNAIE;MUNT;1;GRAND PLACE;GROTE MARKT;21004;BRUXELLES;BRUSSEL
5;"21004A20-";BOURSE-NORD-OUEST;BEURS-NOORDWEST;2;DANSAERT;DANSAERT;21004;BRUXELLES;BRUSSEL
6;"21004A23-";NOUVEAU MARCHE AU GRAIN;NIEUWE GRAANMARKT;2;DANSAERT;DANSAERT;21004;BRUXELLES;BRUSSEL
7;"21004A24-";MARCHE AU PORCS;VARKENSMARKT;2;DANSAERT;DANSAERT;21004;BRUXELLES;BRUSSEL
8;"21004A25-";BEGUINAGE (PLACE DU);BEGIJNHOFPLEIN;3;BEGUINAGE - DIXMUDE;BEGIJNHOF - DIKSMUIDE;21004;BRUXELLES;BRUSSEL
9;"21004A811";QUAI DU COMMERCE;HANDELSKAAI;3;BEGUINAGE - DIXMUDE;BEGIJNHOF - DIKSMUIDE;21004;BRUXELLES;BRUSSEL
10;"21004A822";RUE DES COMMERCANTS;KOOPLIEDENSTRAAT;3;BEGUINAGE - DIXMUDE;BEGIJNHOF - DIKSMUIDE;21004;BRUXELLES;BRUSSEL
11;"21004A83-";E. JACQMAIN (BOULEVARD)-OUEST;E. JACQMAINLAAN-WEST;3;BEGUINAGE - DIXMUDE;BEGIJNHOF - DIKSMUIDE;21004;BRUXELLES;BRUSSEL
12;"21004A32-";CONGRES - GARE;CONGRES - STATION;4;MARTYRS;MARTELAARS;21004;BRUXELLES;BRUSSEL
