house_number_sans_lettre;street_id_phaco;x_31370;y_31370;cd_sector
34;36483;256808;97682;82037D00-
16;27829;241973;73654;82036E01-
70;20671;246666;77195;82003A03-
74;20671;246686;77176;82003A03-
21;20682;246918;78201;82003A12-
15;20552;246411;77535;82003A03-
16;20552;246296;77586;82003A10-
1;20679;246622;77199;82003A020
3;20679;246595;77187;82003A020
5;20679;246570;77175;82003A020
22;20668;252882;86972;82003D59-
282;20613;251169;78256;82003B512
13;41563;260204;109647;82032A00-
107;29553;244688;64018;82009C20-
111;29553;244726;63990;82009C20-
28;41390;259250;114383;82032D00-
35;20647;246724;77005;82003A020
37;20647;246734;76982;82003A020
34;41541;261474;108910;82032A20-
44;41518;252626;105527;82032C40-
3;41390;259461;113965;82032D00-
2;32633;251596;92227;82014A00-
1;41540;260153;109180;82032A00-
10;41540;260111;109163;82032A00-
21;41540;260111;109098;82032A00-
32;20711;246390;77401;82003A03-
8;27838;235991;67315;82036A000
17;34714;263229;98909;82037C210
27;36016;256891;99318;82037E10-
43;41540;259976;108797;82032A00-
53;41540;259955;108731;82032A01-
59;41540;259952;108713;82032A01-
6;41540;260113;109179;82032A00-
65;41540;259939;108680;82032A01-
8;41535;247487;105196;82032C59-
23;32408;250705;96738;82014F312
26;27839;241615;69887;82036D390
150;35869;260985;102168;82037A212
43;41377;258505;113866;82032D30-
21;34708;262649;98482;82037C222
37;34708;262965;98721;82037C222
13;41509;259930;108571;82032A01-
5;41509;259932;108618;82032A01-
48;20647;246925;76657;82003A020
55;20647;246825;76745;82003A020
9;20647;246678;77102;82003A020
138;20614;247238;79145;82003D600
175;20715;246675;76239;82003A22-
16;41534;259550;107358;82032A40-
1;32620;243473;95529;82014C001
10;32615;251251;92253;82014A02-
50;32615;251356;93345;82014F29-
18;32635;251615;92076;82014A00-
25;32635;251576;92142;82014A00-
30;41566;260539;110162;82032A020
40;32635;251597;92162;82014A00-
30;20560;246452;77339;82003A03-
32;20560;246439;77328;82003A03-
46;20560;246355;77239;82003A20-
52;20560;246322;77213;82003A20-
73;20560;246136;77079;82003A20-
12;32607;244743;93528;82014C10-
62;35490;266293;102261;82037B00-
3;35492;266920;99512;82037B10-
1;41550;260441;109344;82032A00-
4;41550;260471;109294;82032A00-
28;41547;259570;107251;82032A40-
2;34706;261018;95632;82037C00-
122;29525;245992;59933;82009A30-
71;20697;247351;78762;82003A12-
189;20715;246700;76076;82003A22-
28;27887;234065;66001;82036F20-
134;29545;244734;63923;82009C20-
26;41496;248694;106267;82032C50-
35;20552;246368;77550;82003A03-
59;20622;249363;78191;82003B49-
203;20650;249747;84652;82003D00-
6;27870;244929;72217;82036D10-
7;27871;242356;74950;82036E10-
150;20645;246831;77808;82003A01-
154;20645;246835;77819;82003A01-
3;33805;248422;88246;82014B09-
4;33805;248375;88294;82014B00-
34;36823;245632;95687;82014D00-
36;36823;245619;95688;82014D00-
246;20622;250736;78286;82003B512
47;33810;246587;87867;82014B10-
1;41503;259630;107203;82032A40-
4;32621;251697;91978;82014A00-
10;20642;246788;77683;82003A020
43;20642;246820;77748;82003A00-
44;41493;251043;105745;82032C300
186;20645;246879;77874;82003A01-
24;27836;241199;68338;82036D60-
40;41515;260439;109133;82032A00-
8;32415;249753;96181;82014F301
4;32629;243882;95064;82014C001
17;32626;251490;91987;82014A01-
3;32626;251554;92134;82014A00-
2;32418;246783;102600;82014E29-
6;32418;246484;102522;82014E20-
27;36834;247321;95502;82014D09-
200;20645;246901;77901;82003A01-
59;20711;246215;77375;82003A03-
25;20622;248918;78248;82003B49-
73;20697;247343;78782;82003A12-
75;20697;247304;78814;82003A12-
77;20697;247282;78820;82003A12-
18;20711;246403;77435;82003A03-
34;33808;247369;90847;82014B39-
227;20622;250541;78297;82003B512
15;20618;249797;77045;82003B39-
2;27803;236522;67400;82036A000
21;35866;262553;104537;82037A100
27;20578;246633;77687;82003A00-
39;20578;246644;77716;82003A00-
71;20604;247102;77424;82003A020
23;20698;246833;77951;82003A01-
25;20698;246837;77974;82003A01-
36;35866;262847;104709;82037A100
2;41522;260315;109439;82032A00-
53;34728;261198;94400;82037C00-
56;34728;261220;94511;82037C00-
1;34702;261121;95437;82037C00-
6;20606;244974;77263;82003A0PA
64;20573;247915;83237;82003D20-
2;20576;246713;77516;82003A020
113;20577;247930;77914;82003A0PA
6;41522;260295;109416;82032A00-
19;41539;260278;108907;82032A00-
34;41537;259411;109596;82032A50-
2;37458;232234;84826;82038C682
9;34733;263407;98812;82037C210
3;41495;259202;109644;82032A50-
1;41498;260224;109546;82032A00-
81;27829;240981;73110;82036E01-
1;27794;240816;73966;82036E000
10;41498;260191;109556;82032A00-
12;41498;260192;109548;82032A00-
23;41498;260190;109303;82032A00-
10;34729;263137;98952;82037C210
33;41498;260180;109267;82032A00-
44;41498;260179;109423;82032A00-
5;41498;260214;109514;82032A00-
54;41498;260162;109288;82032A00-
1;35492;266802;99431;82037B10-
4;34703;262132;98174;82037C201
6;34703;262145;98186;82037C201
12;34729;263149;98941;82037C210
2;34729;263057;99056;82037C210
61;27828;235730;67104;82036A000
2;20577;247108;77881;82003A020
34;20577;247323;77894;82003A020
513;20612;245756;79584;82003A60-
557;20612;245749;79559;82003A60-
26;20576;246778;77545;82003A020
4;20574;246319;77605;82003A10-
51;37441;232858;80328;82038B000
14;20592;245670;77497;82003A10-
10;20589;246502;77357;82003A03-
16;20589;246379;77215;82003A20-
9;20577;247210;77926;82003A020
1;20691;246858;77796;82003A01-
16;20691;246902;77840;82003A020
19;20691;246918;77887;82003A01-
25;34729;263294;98768;82037C210
9;34729;263132;98958;82037C210
3;27797;240877;74260;82036E000
25;41497;259519;109368;82032A50-
14;35871;260800;104657;82037A490
17;37427;233688;80744;82038B090
43;27825;244491;74059;82036D50-
2;41377;259236;113880;82032D30-
